Category,Region_Country,Year,Growth_Rate,Note
世界貿易と商品価格,世界銀行商品価格指数,2026,96.7,
世界貿易と商品価格,エネルギー価格指数,2022,152.6,
世界貿易と商品価格,エネルギー価格指数,2023,120.0,仮の値
世界貿易と商品価格,エネルギー価格指数,2024,100.0,仮の値
世界貿易と商品価格,エネルギー価格指数,2025,95.0,仮の値
世界貿易と商品価格,エネルギー価格指数,2026,91.7,
世界貿易と商品価格,原油価格(ブレント),2022,99.8,ドル
世界貿易と商品価格,原油価格(ブレント),2023,85.0,仮の値 ドル
世界貿易と商品価格,原油価格(ブレント),2024,75.0,仮の値 ドル
世界貿易と商品価格,原油価格(ブレント),2025,72.0,仮の値 ドル
世界貿易と商品価格,原油価格(ブレント),2026,71.0,ドル
